Loan ID,Dealer ID,Date of Disburement,Loan Amount,Final Repayment Date,Hub,Repayment Date,Actual Interest (IDR)  for Repayment Tranche 1,Renewal Fee (0.5%),Dealer Repayed Amount,Repayment Tranche 2 Payment Date,Interest on Pending Amount ,Renewal Fee (0.5%),Actual Payment Received ,Repayment Tranche 3 Due Date,Interest on Pending Amount ,Actual Payment Received ,Repayment Tranche 3 Due Date,Interest on Pending Amount ,Actual Payment Received ,Repayment Tranche 3 Due Date,Interest on Pending Amount ,Actual Payment Received ,,Date Anchor 1,Date Anchor 2,Date Anchor 3,Date Anchor 4,Date Anchor 5,,Tranche 1,Tranche 2,Tranche 3,Tranche 4,Tranche 5,,Reversal 1,Reversal 2,Reversal 3,Reversal 4,Reversal 5,,Repossession,Financier,Lender,RBH
TRX00027,GCD-578,2023-06-12,70000000,2023-09-08,Jabodetabek,2023-07-13,1493333.3333333333,,8493333,2023-08-16,1428000.0075555553,283500.0015,8011500,2023-09-08,865053.0052269629,57281553,,,,,,,,2023-07-13,2023-08-16,2023-09-08,,,,6999999.666666667,6299999.990944444,56416499.99477304,,,,0,0,0,,,,,Modalku,CSI,Rajdeep Dutta
TRX00028,GCD-13824,2023-06-13,105999900,2023-07-20,Jabodetabek,2023-07-20,2685330.8,,108685230.82,,,,,,,,,,,,,,,2023-07-20,,,,,,105999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00029,GCD-9758,2023-06-13,79999900,2023-07-06,Jabodetabek,2023-07-06,1279998.4000000001,,81279898.42,,,,,,,,,,,,,,,2023-07-06,,,,,,79999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00030,GCD-2819,2023-06-13,154999900,2023-07-24,Jabodetabek,2023-07-14,3306664.533333333,,18806655,2023-07-24,929999.3968888888,,140429909,,,,,,,,,,,2023-07-14,2023-07-24,,,,,15499990.466666667,139499909.60311112,,,,,0,-0.06977778673171997,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00031,GCD-15976,2023-06-14,112000000,2023-06-26,Jabodetabek,2023-06-26,970666.6666666669,,112970666.68666667,,,,,,,,,,,,,,,2023-06-26,,,,,,112000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00032,GCD-15976,2023-06-14,56000000,2023-07-11,Jabodetabek,2023-07-11,1045333.3333333334,,57045333.35333334,,,,,,,,,,,,,,,2023-07-11,,,,,,56000000.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00033,GCD-15622,2023-06-15,30000000,2023-06-19,Jabodetabek,2023-06-19,100000,,30100000.02,,,,,,,,,,,,,,,2023-06-19,,,,,,30000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00014,GCD-15651,2023-06-16,74999900,2023-07-12,Jabodetabek,2023-07-12,1349998.2000000002,,76349898.22,,,,,,,,,,,,,,,2023-07-12,,,,,,74999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00015,GCD-13824,2023-06-19,101999900,2023-06-23,Jabodetabek,2023-06-23,339999.6666666666,,102339899.68666667,,,,,,,,,,,,,,,2023-06-23,,,,,,101999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00016,GCD-15976,2023-06-20,15000000,2023-06-22,Jabodetabek,2023-06-22,30000,,15030000.02,,,,,,,,,,,,,,,2023-06-22,,,,,,15000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00017,GCD-2272,2023-06-21,30000000,2023-06-28,Jabodetabek,2023-06-28,160000,,30160000.02,,,,,,,,,,,,,,,2023-06-28,,,,,,30000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00019,GCD-15651,2023-06-21,11800000,2023-06-26,Jabodetabek,2023-06-26,47200,,11847200.02,,,,,,,,,,,,,,,2023-06-26,,,,,,11800000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00018,GCD-15651,2023-06-21,14300000,2023-06-26,Jabodetabek,2023-06-26,57200,,14357200.02,,,,,,,,,,,,,,,2023-06-26,,,,,,14300000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00020,GCD-747,2023-06-22,84999900,2023-10-27,Jabodetabek,2023-07-24,1869997.8000000003,,10752500,2023-08-22,1471603.0241333332,,9425884,2023-10-27,2999177.1402618666,71162403,,,,,,,,2023-07-24,2023-08-22,2023-10-27,,,,8882502.2,7954280.975866667,68163225.85973813,,,,0,0,-109.0356047898531,,,,,Modalku,CSI,Rajdeep Dutta
TRX00021,GCD-747,2023-06-22,65000000,2023-08-22,Jabodetabek,2023-07-24,1430000.0000000002,,8222500,2023-08-22,1125345,,59332845,,,,,,,,,,,2023-07-24,2023-08-22,,,,,6792500,58207500,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00022,GCD-15794,2023-06-23,20000000,2023-06-28,Jabodetabek,2023-06-28,80000,,20080000.02,,,,,,,,,,,,,,,2023-06-28,,,,,,20000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00023,GCD-15976,2023-06-23,34249900,2023-08-23,Jabodetabek,2023-07-25,753497.8,154125,4332612,2023-08-23,592968.5254666666,,31284202,,,,,,,,,,,2023-07-25,2023-08-23,,,,,3424989.2,30691233.474533334,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00024,GCD-15976,2023-06-23,96300000,2023-07-18,Jabodetabek,2023-07-18,1669200.0000000002,,97969200.02,,,,,,,,,,,,,,,2023-07-18,,,,,,96300000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00034,GCD-578,2023-06-23,114999900,2023-09-29,Jabodetabek,2023-07-25,2529997.8000000003,517499.55,14317488,2023-08-29,2420364.5515,466784.592075,13193986,2023-09-29,1930743.4982005497,95500000,,,,,,,,2023-07-25,2023-08-29,2023-09-29,,,,11269990.649999999,10306836.856425,93569256.50179945,,,,0,0,-146184.0082244575,,,,,Modalku,CSI,Rajdeep Dutta
TRX00026,GCD-15710,2023-06-23,15000000,2023-07-03,Jabodetabek,2023-07-03,110000,,15110000.02,,,,,,,,,,,,,,,2023-07-03,,,,,,15000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00035,GCD-15794,2023-06-26,25000000,2023-07-03,Jabodetabek,2023-07-03,133333.33333333334,,25133333.35333333,,,,,,,,,,,,,,,2023-07-03,,,,,,25000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00036,GCD-15794,2023-06-26,20000000,2023-07-03,Jabodetabek,2023-07-03,106666.66666666666,,20106666.686666667,,,,,,,,,,,,,,,2023-07-03,,,,,,20000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00042,GCD-13824,2023-06-27,130000000,2023-07-27,Jabodetabek,2023-07-27,2686666.666666667,,132686666.68666667,,,,,,,,,,,,,,,2023-07-27,,,,,,130000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00043,GCD-15710,2023-06-27,53999900,2023-07-03,Jabodetabek,2023-07-03,251999.53333333335,,54251899.553333335,,,,,,,,,,,,,,,2023-07-03,,,,,,53999900.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00044,GCD-271,2023-06-28,94000000,2023-07-17,Jabodetabek,2023-07-17,1253333.3333333333,,95253333,,,,,,,,,,,,,,,2023-07-17,,,,,,93999999.66666667,,,,,,0,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00045,GCD-271,2023-06-28,89999900,2023-09-26,Jabodetabek,2023-07-28,1859997.9333333336,404999.55,11265000,2023-08-27,1619997.9496666668,364499.538675,10034078,2023-09-26,1459006.3394334998,74409430,,,,,,,,2023-07-28,2023-08-27,2023-09-26,,,,9000002.516666666,8049580.511658332,72950423.6605665,,,,0,0,-106.68889148533344,,,,,Modalku,CSI,Rajdeep Dutta
TRX00047,GCD-13824,2023-06-28,14470000,2023-07-02,Jabodetabek,2023-07-02,48233.33333333333,,14518233.353333334,,,,,,,,,,,,,,,2023-07-02,,,,,,14470000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00048,GCD-13824,2023-06-28,13220000,2023-07-02,Jabodetabek,2023-07-02,44066.666666666664,,13264066.686666666,,,,,,,,,,,,,,,2023-07-02,,,,,,13220000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00050,GCD-13824,2023-06-28,13220000,2023-07-02,Jabodetabek,2023-07-02,44066.666666666664,,13264066.686666666,,,,,,,,,,,,,,,2023-07-02,,,,,,13220000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00052,GCD-9758,2023-06-28,42000000,2023-07-01,Jabodetabek,2023-07-01,112000,,42112000.02,,,,,,,,,,,,,,,2023-07-01,,,,,,42000000.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00053,GCD-9758,2023-06-28,60999900,2023-07-01,Jabodetabek,2023-07-01,162666.4,,61162566.42,,,,,,,,,,,,,,,2023-07-01,,,,,,60999900.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00054,GCD-2819,2023-06-28,15000000,2023-07-28,Jabodetabek,2023-07-28,310000.00000000006,,15310000.02,,,,,,,,,,,,,,,2023-07-28,,,,,,15000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00055,GCD-271,2023-06-28,33250000,2023-09-28,Jabodetabek,2023-07-28,687166.6666666667,149625,4161792,2023-08-27,598499.9933333333,134662.4985,3707034,2023-09-28,574957.4007146666,27526086,,,,,,,,2023-07-28,2023-08-27,2023-09-28,,,,3325000.333333333,2973871.508166667,26951128.599285334,,,,0,0,-0.44078533351421356,,,,,Modalku,CSI,Rajdeep Dutta
TRX00046,GCD-8381,2023-06-28,20000000,2023-07-17,Jabodetabek,2023-07-17,266666.6666666666,,20266666.686666667,,,,,,,,,,,,,,,2023-07-17,,,,,,20000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00057,GCD-2819,2023-06-28,10000000,2023-07-07,Jabodetabek,2023-07-07,66666.66666666666,,10066666.686666666,,,,,,,,,,,,,,,2023-07-07,,,,,,10000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00041,GCD-7491,2023-06-28,100000000,2023-07-17,Jabodetabek,2023-07-17,1333333.3333333333,,101333333,,,,,,,,,,,,,,,2023-07-17,,,,,,99999999.66666667,,,,,,0,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00051,GCD-15710,2023-06-30,74999900,2023-07-31,Jabodetabek,2023-07-31,1599997.8666666667,,76599897.88666666,,,,,,,,,,,,,,,2023-07-31,,,,,,74999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00058,GCD-13824,2023-06-30,101000000,2023-07-18,Jabodetabek,2023-07-18,1279333.3333333333,,102279333.35333332,,,,,,,,,,,,,,,2023-07-18,,,,,,101000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00061,GCD-2819,2023-07-04,300000000,2023-09-18,Jabodetabek,2023-08-10,7600000,1350000,38950000,2023-09-18,7020000,,278730000,,,,,,,,,,,2023-08-10,2023-09-18,,,,,30000000,271710000,,,,,0,-1710000,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00062,GCD-8241,2023-07-04,160000000,2023-08-03,Jabodetabek,2023-08-03,3306666.666666667,,163306666.68666667,,,,,,,,,,,,,,,2023-08-03,,,,,,160000000.02,,,,,,-0.02000001072883606,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00063,GCD-8241,2023-07-04,39999900,2023-07-19,Jabodetabek,2023-07-19,426665.6,,40426565.620000005,,,,,,,,,,,,,,,2023-07-19,,,,,,39999900.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00064,GCD-16551,2023-07-04,125000000,2023-09-05,Jabodetabek,2023-08-04,2666666.6666666665,562500,15729167,2023-09-05,2387999.9928888893,,114325500,,,,,,,,,,,2023-08-04,2023-09-05,,,,,12500000.333333334,111937500.00711112,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00065,GCD-8241,2023-07-04,30000000,2023-08-01,Jabodetabek,2023-08-01,580000,,30580000.02,,,,,,,,,,,,,,,2023-08-01,,,,,,30000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00066,GCD-15710,2023-07-05,200999900,2023-08-08,Jabodetabek,2023-08-08,4689997.666666667,,205689897.68666667,,,,,,,,,,,,,,,2023-08-08,,,,,,200999900.02,,,,,,-0.02000001072883606,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00067,GCD-2819,2023-07-06,39999900,2023-07-12,Jabodetabek,2023-07-12,186666.2,,40186566.220000006,,,,,,,,,,,,,,,2023-07-12,,,,,,39999900.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00068,GCD-16551,2023-07-07,249999900,2023-08-07,Jabodetabek,2023-08-07,5333331.2,,255333231.22,,,,,,,,,,,,,,,2023-08-07,,,,,,249999900.02,,,,,,-0.02000001072883606,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00069,GCD-15822,2023-07-07,119999900,2023-07-26,Jabodetabek,2023-07-26,1599998.6666666665,,121599898.68666667,,,,,,,,,,,,,,,2023-07-26,,,,,,119999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00070,GCD-3547,2023-07-07,95000000,2023-07-17,Jabodetabek,2023-07-17,696666.6666666666,,95696666.68666667,,,,,,,,,,,,,,,2023-07-17,,,,,,95000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00071,GCD-16031,2023-07-07,100000000,2023-08-05,Jabodetabek,2023-08-05,2000000,,102000000.02,,,,,,,,,,,,,,,2023-08-05,,,,,,100000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00072,GCD-3547,2023-07-07,49999900,2023-08-03,Jabodetabek,2023-08-03,933331.4666666668,,50933231.48666667,,,,,,,,,,,,,,,2023-08-03,,,,,,49999900.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00073,GCD-15822,2023-07-11,160000000,2023-08-18,Jabodetabek,2023-08-18,4160000.0000000005,,164160000.02,,,,,,,,,,,,,,,2023-08-18,,,,,,160000000.02,,,,,,-0.02000001072883606,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00074,GCD-15976,2023-07-11,114590000,2023-09-13,Jabodetabek,2023-08-14,2673766.666666667,515655,14648422,2023-09-13,2062619.9933333334,,105193620,,,,,,,,,,,2023-08-14,2023-09-13,,,,,11459000.333333332,103131000.00666666,,,,,0,-0.3399999886751175,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00075,GCD-8241,2023-07-11,105000000,2023-08-08,Jabodetabek,2023-08-08,2030000,,107030000.02,,,,,,,,,,,,,,,2023-08-08,,,,,,105000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00076,GCD-15822,2023-07-11,125000000,2023-09-20,Jabodetabek,2023-08-14,2916666.666666667,562500,15979167,2023-09-20,2774999.991777778,,116237500,,,,,,,,,,,2023-08-14,2023-09-20,,,,,12500000.333333332,113462500.00822222,,,,,0,-962500.3415555507,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00077,GCD-16679,2023-07-12,109999900,2023-10-13,Jabodetabek,2023-08-30,3666663.3333333335,494999.55,15161653,2023-10-13,2903997.3565777773,,101903908,,,,,,,,,,,2023-08-30,2023-10-13,,,,,10999990.116666665,98999910.64342222,,,,,0,-0.7600888758897781,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00078,GCD-16551,2023-07-12,125000000,2023-08-21,Jabodetabek,2023-08-21,3416666.666666667,,128416666.68666667,,,,,,,,,,,,,,,2023-08-21,,,,,,125000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00079,GCD-2819,2023-07-12,20000000,2023-07-31,Jabodetabek,2023-07-31,266666.6666666666,,20266666.686666667,,,,,,,,,,,,,,,2023-07-31,,,,,,20000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00080,GCD-2819,2023-07-12,15000000,2023-07-31,Jabodetabek,2023-07-31,200000,,15200000.02,,,,,,,,,,,,,,,2023-07-31,,,,,,15000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00081,GCD-15822,2023-07-12,116999900,2023-09-10,Jabodetabek,2023-08-14,2651997.733333333,526499.55,14878487,2023-09-10,1895398.3850999998,,107195309,,,,,,,,,,,2023-08-14,2023-09-10,,,,,11699989.716666667,105299910.6149,,,,,0,-0.3315666615962982,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00082,GCD-8381,2023-07-12,39000000,2023-09-08,Jabodetabek,2023-08-15,910000,175500,4985500,2023-09-08,561600,,35661600,,,,,,,,,,,2023-08-15,2023-09-08,,,,,3900000,35100000,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00083,GCD-8381,2023-07-13,111000000,2023-07-28,Jabodetabek,2023-07-28,1184000,,112184000.02,,,,,,,,,,,,,,,2023-07-28,,,,,,111000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00084,GCD-8241,2023-07-13,105000000,2023-08-07,Jabodetabek,2023-08-07,1820000.0000000002,,106820000.02,,,,,,,,,,,,,,,2023-08-07,,,,,,105000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00085,GCD-8241,2023-07-13,30000000,2023-08-10,Jabodetabek,2023-08-10,580000,,30580000.02,,,,,,,,,,,,,,,2023-08-10,,,,,,30000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00086,GCD-4456,2023-07-14,15000000,2023-09-21,Jabodetabek,2023-08-18,360000,67500,1927500,2023-09-21,306000,,13806000,,,,,,,,,,,2023-08-18,2023-09-21,,,,,1500000,13500000,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00087,GCD-9758,2023-07-14,94500000,2023-07-26,Jabodetabek,2023-07-26,819000.0000000001,,95319000.02,,,,,,,,,,,,,,,2023-07-26,,,,,,94500000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00088,GCD-9758,2023-07-14,90000000,2023-08-10,Jabodetabek,2023-08-10,1680000.0000000002,,91680000.02,,,,,,,,,,,,,,,2023-08-10,,,,,,90000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00089,GCD-6854,2023-07-14,100000000,2023-07-30,Jabodetabek,2023-07-30,1133333.3333333333,,101133333.35333332,,,,,,,,,,,,,,,2023-07-30,,,,,,100000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00090,GCD-6854,2023-07-14,49999900,2023-09-28,Jabodetabek,2023-08-14,1066664.5333333332,224999.55000000002,6291654,2023-09-28,1349997.3025,,46349908,,,,,,,,,,,2023-08-14,2023-09-28,,,,,4999989.916666667,44999910.6975,,,,,0,-0.6141666620969772,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00091,GCD-3547,2023-07-17,102000000,2023-08-16,Jabodetabek,2023-08-16,2108000.0000000005,,104108000.02,,,,,,,,,,,,,,,2023-08-16,,,,,,102000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00092,GCD-2819,2023-07-17,63000000,2023-08-31,Jabodetabek,2023-08-21,1512000,283500,40000000,2023-08-31,163413.3333333333,,24960804,,,,,,,,,,,2023-08-21,2023-08-31,,,,,38204500,24797390.666666668,,,,,0,-1890.6666666679084,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00093,GCD-9758,2023-07-17,90000000,2023-08-31,Jabodetabek,2023-08-18,1980000.0000000002,405000,11385000,2023-08-31,698490,,81293490,,,,,,,,,,,2023-08-18,2023-08-31,,,,,9000000,80595000,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00095,GCD-271,2023-07-17,81999900,2023-10-11,Jabodetabek,2023-08-19,1858664.4,368999.55,10427654,2023-09-27,1918797.6587,332099.59477500006,9630888,2023-10-11,619919.2458991001,67039838.44937411,,,,,,,,2023-08-19,2023-09-27,2023-10-11,,,,8199990.05,7379990.746525,66419919.203475006,,,,0,0,0,,,,,Modalku,CSI,Rajdeep Dutta
TRX00097,GCD-2819,2023-07-18,20000000,2023-07-28,Jabodetabek,2023-07-28,146666.66666666666,,20146666.686666667,,,,,,,,,,,,,,,2023-07-28,,,,,,20000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00098,GCD-15622,2023-07-18,16000000,2023-07-21,Jabodetabek,2023-07-21,42666.666666666664,,16042666.686666666,,,,,,,,,,,,,,,2023-07-21,,,,,,16000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00099,GCD-6854,2023-07-18,49999900,2023-07-22,Jabodetabek,2023-07-22,166666.3333333333,,50166566.35333334,,,,,,,,,,,,,,,2023-07-22,,,,,,49999900.02,,,,,,-0.020000003278255463,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00100,GCD-4456,2023-07-20,114999900,2023-07-27,Jabodetabek,2023-07-27,613332.7999999999,,115613232.82,,,,,,,,,,,,,,,2023-07-27,,,,,,114999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00101,GCD-16812,2023-07-20,76000000,2023-08-04,Jabodetabek,2023-08-04,810666.6666666666,,76810666.68666667,,,,,,,,,,,,,,,2023-08-04,,,,,,76000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00102,GCD-15622,2023-07-20,13000000,2023-07-23,Jabodetabek,2023-07-23,34666.666666666664,,13034666.686666666,,,,,,,,,,,,,,,2023-07-23,,,,,,13000000.02,,,,,,-0.019999999552965164,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00103,GCD-16388,2023-07-20,90000000,2023-07-27,Jabodetabek,2023-07-27,480000,,90480000.02,,,,,,,,,,,,,,,2023-07-27,,,,,,90000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
