UCF Code,RBH,Date of Onboarding,Modalku,Akseleran,BSS,Danabijak
GCD-19397,Rajdeep Dutta,2023-12-06,2023-12-06,,,
GCD-5080,Rajdeep Dutta,2023-12-06,2023-12-06,,,2026-01-29
GCD-19411,Rajdeep Dutta,2023-12-06,2023-12-06,,,
GCD-19617,Rajdeep Dutta,2023-12-06,2023-12-06,,,
GCD-18728,Rajdeep Dutta,2023-12-06,2023-12-06,,,
GCD-19463,Rajdeep Dutta,2023-12-08,2023-12-08,,,
GCD-4739,Rajdeep Dutta,2023-12-08,2023-12-08,,,
GCD-19512,Rajdeep Dutta,2023-12-11,2023-12-11,,,
GCD-19297,Rajdeep Dutta,2023-12-11,2023-12-11,,,2026-02-21
OX16112317002100112,Rajdeep Dutta,2023-12-12,2023-12-12,,,
GCD-4987,Rajdeep Dutta,2023-12-12,2023-12-12,,,
GCD-1816,Rajdeep Dutta,2023-12-08,2023-12-08,,,
GCD-19105,Rajdeep Dutta,2023-12-06,2023-12-06,,,
GCD-14619,Rajdeep Dutta,2023-12-12,2023-12-12,,,
GCD-18778,Rajdeep Dutta,2023-12-13,2023-12-13,,,2025-12-22
GCD-781,Rajdeep Dutta,2023-12-13,2023-12-13,,,
GCD-19501,Rajdeep Dutta,2023-12-13,2023-12-13,,,
GCD-19508,Rajdeep Dutta,2023-12-13,2023-12-13,,,
GCD-19690,Rajdeep Dutta,2023-12-14,2023-12-14,,,
GCD-1415,Rajdeep Dutta,2023-12-14,2023-12-14,,,2026-01-31
GCD-19515,Rajdeep Dutta,2023-12-14,2023-12-14,,,
GCD-19481,Rajdeep Dutta,2023-12-15,2023-12-15,,,
GCD-17470,Rajdeep Dutta,2023-12-15,2023-12-15,,,
GCD-15556,Rajdeep Dutta,2023-12-18,2023-12-18,,,2026-02-24
GCD-19495,Rajdeep Dutta,2023-12-18,2023-12-18,,,
GCD-19551,Rajdeep Dutta,2023-12-19,2023-12-19,,,
GCD-3736,Rajdeep Dutta,2023-12-19,2023-12-19,,,2026-01-26
OX08122315575700328,Rajdeep Dutta,2023-12-20,2023-12-20,,,
GCD-19482,Rajdeep Dutta,2023-12-20,2023-12-20,,,
GCD-19714,Rajdeep Dutta,2023-12-20,2023-12-20,,,
GCD-3051,Rajdeep Dutta,2023-12-21,2023-12-21,,,
OX14122321481200402,Rajdeep Dutta,2023-12-21,2023-12-21,,,
GCD-19346,Rajdeep Dutta,2023-12-21,2023-12-21,,,
GCD-15589,Rajdeep Dutta,2023-12-21,2023-12-21,,,
GCD-3814,Rajdeep Dutta,2023-12-21,2023-12-21,,,
GCD-15908,Rajdeep Dutta,2023-12-26,2023-12-26,,,
GCD-19268,Rajdeep Dutta,2023-12-27,2023-12-27,,,
GCD-13529,Rajdeep Dutta,2023-12-27,2023-12-27,,,
GCD-2678,Rajdeep Dutta,2023-12-27,2023-12-27,,,
GCD-19269,Rajdeep Dutta,2023-12-27,2023-12-27,,,
GCD-2586,Rajdeep Dutta,2023-12-27,2023-12-27,,,
OX21112312580300147,Rajdeep Dutta,2023-12-28,2023-12-28,,,
GCD-19653,Rajdeep Dutta,2023-12-28,2023-12-28,,,
OX07112321254200013,Rajdeep Dutta,2023-12-28,2023-12-28,,,
GCD-7320,Rajdeep Dutta,2023-12-29,2023-12-29,,,
GCD-19621,Rajdeep Dutta,2023-12-29,2023-12-29,,,
GCD-19650,Rajdeep Dutta,2023-12-29,2023-12-29,,,
GCD-14823,Rajdeep Dutta,2023-12-29,2023-12-29,,,
GCD-1497,Rajdeep Dutta,2024-01-02,2024-01-02,,,
GCD-3525,Rajdeep Dutta,2024-01-03,2024-01-03,,,
GCD-5120,Rajdeep Dutta,2024-01-03,2024-01-03,,,
GCD-5054,Rajdeep Dutta,2024-01-03,2024-01-03,,,
GCD-20002,Rajdeep Dutta,2024-01-04,2024-01-04,,,
GCD-18526,Rajdeep Dutta,2024-01-05,2024-01-05,,,2025-12-29
GCD-19746,Rajdeep Dutta,2024-01-09,2024-01-09,,,
GCD-4792,Rajdeep Dutta,2024-01-09,2024-01-09,,,
GCD-1528,Rajdeep Dutta,2024-01-09,2024-01-09,,,
GCD-3056,Rajdeep Dutta,2024-01-09,2024-01-09,,,
GCD-19665,Rajdeep Dutta,2024-01-10,2024-01-10,,,
OX27112309113900197,Rajdeep Dutta,2024-01-11,2024-01-11,,,
GCD-19639,Rajdeep Dutta,2024-01-11,2024-01-11,,,
GCD-19371,Rajdeep Dutta,2024-01-12,2024-01-12,,,
GCD-19682,Rajdeep Dutta,2024-01-12,2024-01-12,,,2025-12-19
GCD-2055,Rajdeep Dutta,2024-01-15,2024-01-15,,,
GCD-19708,Rajdeep Dutta,2024-01-16,2024-01-16,,,2026-01-31
GCD-3517,Rajdeep Dutta,2024-01-16,2024-01-16,,,
GCD-19431,Rajdeep Dutta,2024-01-16,2024-01-16,,2024-09-24,2026-01-26
GCD-4432,Rajdeep Dutta,2024-01-17,2024-01-17,,,2026-02-26
GCD-19724,Rajdeep Dutta,2024-01-17,2024-01-17,,,
GCD-1775,Rajdeep Dutta,2024-01-17,2024-01-17,,,
GCD-19654,Rajdeep Dutta,2024-01-18,2024-01-18,,,2026-02-11
GCD-19693,Rajdeep Dutta,2024-01-18,2024-01-18,,,2026-02-18
GCD-2594,Rajdeep Dutta,2024-01-18,2024-01-18,,,
GCD-5418,Rajdeep Dutta,2024-01-18,2024-01-18,,,
GCD-3160,Rajdeep Dutta,2024-01-22,2024-01-22,,,
GCD-19752,Rajdeep Dutta,2024-01-22,2024-01-22,,,
GCD-19747,Rajdeep Dutta,2024-01-22,2024-01-22,,,
GCD-19620,Rajdeep Dutta,2024-01-23,2024-01-23,,,
GCD-3854,Rajdeep Dutta,2024-01-23,2024-01-23,,,
GCD-1079,Rajdeep Dutta,2024-01-23,2024-01-23,,,
GCD-19544,Rajdeep Dutta,2024-01-24,2024-01-24,,,2026-01-09
GCD-11111,Rajdeep Dutta,2024-01-25,2024-01-25,,,
GCD-16619,Rajdeep Dutta,2024-01-26,2024-01-26,,,
GCD-19768,Rajdeep Dutta,2024-01-29,2024-01-29,,,
GCD-19779,Rajdeep Dutta,2024-01-30,2024-01-30,,2024-09-23,
GCD-18818,Rajdeep Dutta,2024-01-30,2024-01-30,,,
GCD-19681,Rajdeep Dutta,2024-01-30,2024-01-30,,,
GCD-5353,Rajdeep Dutta,2024-01-31,2024-01-31,,,
GCD-19781,Rajdeep Dutta,2024-01-31,2024-01-31,,,2026-04-29
GCD-8439,Rajdeep Dutta,2024-02-01,2024-02-01,,,
OX18012413064000642,Rajdeep Dutta,2024-02-01,2024-02-01,,,
GCD-4929,Rajdeep Dutta,2024-02-01,2024-02-01,,,
OX24012417434900676,Rajdeep Dutta,2024-02-05,2024-02-05,,,
GCD-3850,Rajdeep Dutta,2024-02-06,2024-02-06,,,
GCD-19791,Rajdeep Dutta,2024-02-07,2024-02-07,,,
GCD-19795,Rajdeep Dutta,2024-02-07,2024-02-07,,,
GCD-18483,Rajdeep Dutta,2024-02-12,2024-02-12,,,2026-02-09
GCD-17842,Rajdeep Dutta,2024-02-12,2024-02-12,,,
GCD-19812,Rajdeep Dutta,2024-02-13,2024-02-13,,,
GCD-19818,Rajdeep Dutta,2024-02-13,2024-02-13,,,
GCD-5901,Rajdeep Dutta,2024-02-15,2024-02-15,,,
GCD-18822,Rajdeep Dutta,2024-02-16,2024-02-16,,,2026-02-20
GCD-5583,Rajdeep Dutta,2024-02-16,2024-02-16,,,
GCD-19257,Rajdeep Dutta,2024-02-17,2024-02-17,,,
GCD-1000,Rajdeep Dutta,2024-02-17,2024-02-17,,,
GCD-4651,Rajdeep Dutta,2024-02-19,2024-02-19,,,2026-01-26
GCD-19696,Rajdeep Dutta,2024-02-19,2024-02-19,,,
GCD-1541,Rajdeep Dutta,2024-02-20,2024-02-20,,,
GCD-19798,Rajdeep Dutta,2024-02-21,2024-02-21,,,
GCD-1909,Rajdeep Dutta,2024-02-21,2024-02-21,,,
GCD-9429,Rajdeep Dutta,2024-02-22,2024-02-22,,,
GCD-19218,Rajdeep Dutta,2024-02-23,2024-02-23,,,
GCD-19149,Rajdeep Dutta,2024-02-23,2024-02-23,,,
GCD-19882,Rajdeep Dutta,2024-02-26,2024-02-26,,,2026-01-31
GCD-14822,Rajdeep Dutta,2024-02-26,2024-02-26,,,
GCD-17566,Rajdeep Dutta,2024-02-27,2024-02-27,,,2026-01-26
GCD-13323,Rajdeep Dutta,2024-02-28,2024-02-28,,,
GCD-3590,Rajdeep Dutta,2024-02-28,2024-02-28,,,
GCD-5880,Rajdeep Dutta,2024-02-28,2024-02-28,,,2026-02-11
GCD-3364,Rajdeep Dutta,2024-02-28,2025-01-06,2024-02-28,,2026-01-20
OX22122315361300514,Rajdeep Dutta,2024-02-29,2024-02-29,,,
GCD-18609,Rajdeep Dutta,2024-02-29,2024-02-29,,,
GCD-15897,Rajdeep Dutta,2024-02-29,2024-02-29,,,
GCD-19889,Rajdeep Dutta,2024-02-29,2024-02-29,,,
GCD-6532,Rajdeep Dutta,2024-03-01,2024-03-01,,,
GCD-3053,Rajdeep Dutta,2024-03-02,2024-03-02,,,
GCD-19897,Rajdeep Dutta,2024-03-04,2024-03-04,,,
GCD-19915,Rajdeep Dutta,2024-03-04,2024-03-04,,,
GCD-19514,Rajdeep Dutta,2024-03-05,2024-03-05,,,2026-02-23
GCD-19918,Rajdeep Dutta,2024-03-07,2024-03-07,,,2026-01-31
GCD-19906,Rajdeep Dutta,2024-03-08,2024-03-08,,,2026-02-24
GCD-1590,Rajdeep Dutta,2024-03-12,2024-03-12,,,
GCD-19931,Rajdeep Dutta,2024-03-13,2024-03-13,,,
GCD-19935,Rajdeep Dutta,2024-03-13,2024-03-13,,,
GCD-19939,Rajdeep Dutta,2024-03-14,2024-03-14,,,
GCD-5867,Rajdeep Dutta,2024-03-15,2024-03-15,,,
GCD-19295,Rajdeep Dutta,2024-03-15,2024-03-15,,,
GCD-19949,Rajdeep Dutta,2024-03-18,2024-03-18,,,
GCD-19973,Rajdeep Dutta,2024-03-20,2024-03-20,,,
GCD-2394,Rajdeep Dutta,2024-03-20,2024-03-20,,,
GCD-16552,Rajdeep Dutta,2024-03-21,2024-03-21,,,
GCD-19983,Rajdeep Dutta,2024-03-21,2024-03-21,,,
GCD-19990,Rajdeep Dutta,2024-03-25,2024-03-25,,,
GCD-5569,Rajdeep Dutta,2024-03-25,,2024-03-25,,
GCD-15875,Rajdeep Dutta,2024-03-25,2024-03-25,,,
GCD-19991,Rajdeep Dutta,2024-03-26,2024-03-26,,,
GCD-2651,Rajdeep Dutta,2024-04-02,2024-04-02,,,
GCD-20026,Rajdeep Dutta,2024-04-03,2024-04-03,,,2026-02-18
GCD-17910,Rajdeep Dutta,2024-04-03,2024-04-03,,,
GCD-20022,Rajdeep Dutta,2024-04-04,2024-04-04,,,
GCD-6936,Rajdeep Dutta,2024-04-04,2024-04-04,,,
GCD-5945,Rajdeep Dutta,2024-04-16,,2024-04-16,,
GCD-20037,Rajdeep Dutta,2024-04-17,,2024-04-17,,
GCD-11507,Rajdeep Dutta,2024-04-18,2024-12-31,2024-04-18,2025-06-04,
GCD-12169,Rajdeep Dutta,2024-04-24,,2024-04-24,,
GCD-20044,Rajdeep Dutta,2024-04-25,2024-12-24,2024-04-25,,2026-01-15
GCD-20046,Rajdeep Dutta,2024-04-25,2024-04-25,,,
GCD-2977,Rajdeep Dutta,2024-04-25,2024-04-25,,,
GCD-20136,Rajdeep Dutta,2024-04-26,,2024-04-26,,
GCD-20051,Rajdeep Dutta,2024-04-26,2024-04-26,,,
GCD-20054,Rajdeep Dutta,2024-04-29,,2024-04-29,,
GCD-4590,Rajdeep Dutta,2024-04-29,2024-04-29,,,2026-02-16
GCD-18606,Rajdeep Dutta,2024-04-30,2024-04-30,,,
GCD-3856,Rajdeep Dutta,2024-04-30,,2024-04-30,,
GCD-10992,Etrisno,2024-04-30,,2024-04-30,,
GCD-16801,Rajdeep Dutta,2024-05-02,,2024-05-02,,
GCD-19986,Etrisno,2024-05-03,,2024-05-03,,
GCD-20047,Rajdeep Dutta,2024-05-03,,2024-05-03,,
GCD-10920,Rajdeep Dutta,2024-05-04,2024-05-04,,,
GCD-18304,Rajdeep Dutta,2024-05-06,2026-06-24,2024-05-06,,2026-02-23
GCD-19095,Rajdeep Dutta,2024-05-06,2024-05-06,,,
GCD-20065,Rajdeep Dutta,2024-05-06,2024-05-06,,,2026-02-12
GCD-20103,Rajdeep Dutta,2024-05-06,,2024-05-06,,
GCD-19407,Etrisno,2024-05-07,2025-01-13,2024-05-07,,
GCD-19871,Etrisno,2024-05-07,,2024-05-07,,
GCD-20039,Rajdeep Dutta,2024-05-07,,2024-05-07,,
GCD-20151,Rajdeep Dutta,2024-05-07,,2024-05-07,,
GCD-4943,Rajdeep Dutta,2024-05-10,2024-05-10,,,
GCD-2331,Rajdeep Dutta,2024-05-13,2025-01-30,2024-05-13,2025-08-11,
GCD-1953,Rajdeep Dutta,2024-05-13,2024-05-13,,,
GCD-18889,Rajdeep Dutta,2024-05-13,2025-01-13,2024-05-13,,
OX22032416181700826,Rajdeep Dutta,2024-05-13,,2024-05-13,,
GCD-19783,Etrisno,2024-05-14,,2024-05-14,,
GCD-20025,Etrisno,2024-05-14,,2024-05-14,,
GCD-20073,Rajdeep Dutta,2024-05-14,,2024-05-14,,
GCD-20090,Rajdeep Dutta,2024-05-14,2025-03-18,2024-05-14,,2026-01-09
GCD-3809,Etrisno,2024-05-15,2025-03-03,2024-05-15,,
GCD-7593,Etrisno,2024-05-15,,2024-05-15,,
GCD-2676,Etrisno,2024-05-15,,2024-05-15,,
GCD-20106,Rajdeep Dutta,2024-05-15,2025-04-16,2024-05-15,,2026-01-09
GCD-20093,Rajdeep Dutta,2024-05-16,2024-05-16,,,
GCD-20077,Rajdeep Dutta,2024-05-16,,2024-05-16,,
GCD-19907,Etrisno,2024-05-16,,2024-05-16,,
GCD-20096,Etrisno,2024-05-16,2025-03-18,2024-05-16,,
GCD-20097,Etrisno,2024-05-17,,2024-05-17,,
GCD-18479,Rajdeep Dutta,2024-05-17,,2024-05-17,,
OX23042414581700890,Rajdeep Dutta,2024-05-17,,2024-05-17,,
GCD-20094,Etrisno,2024-05-17,,2024-05-17,,
GCD-6640,Rajdeep Dutta,2024-05-17,,2024-05-17,,
GCD-20095,Rajdeep Dutta,2024-05-17,,2024-05-17,,
GCD-20115,Rajdeep Dutta,2024-05-20,2024-12-17,2024-05-20,,2025-12-12
GCD-19725,Etrisno,2024-05-20,,2024-05-20,,
GCD-17830,Rajdeep Dutta,2024-05-21,,2024-05-21,,
GCD-4807,Rajdeep Dutta,2024-05-21,,2024-05-21,,
GCD-18440,Etrisno,2024-05-21,,2024-05-21,,
GCD-20109,Rajdeep Dutta,2024-05-22,,2024-05-22,,
GCD-20113,Rajdeep Dutta,2024-05-22,,2024-05-22,,
GCD-20067,Etrisno,2024-05-22,,2024-05-22,,
GCD-20114,Rajdeep Dutta,2024-05-22,,2024-05-22,,
GCD-19549,Rajdeep Dutta,2024-05-25,,2024-05-25,,
GCD-6310,Etrisno,2024-05-27,,2024-05-27,,
GCD-6486,Rajdeep Dutta,2024-05-27,,2024-05-27,,
GCD-7824,Rajdeep Dutta,2024-05-28,,2024-05-28,,
GCD-1476,Etrisno,2024-05-28,,2024-05-28,,
GCD-20089,Rajdeep Dutta,2024-05-29,2024-12-27,2024-05-29,,2026-01-15
GCD-20104,Rajdeep Dutta,2024-05-29,,2024-05-29,,
GCD-2183,Rajdeep Dutta,2024-05-29,2025-03-12,2024-05-29,,2026-01-09
GCD-20121,Etrisno,2024-05-29,,2024-05-29,,
GCD-20084,Rajdeep Dutta,2024-05-29,,2024-05-29,,
GCD-20124,Rajdeep Dutta,2024-05-30,,2024-05-30,,
GCD-5200,Etrisno,2024-05-31,,2024-05-31,,
GCD-15786,Rajdeep Dutta,2024-05-31,,2024-05-31,,
GCD-17012,Rajdeep Dutta,2024-05-31,,2024-05-31,,
GCD-20078,Etrisno,2024-05-31,,2024-05-31,,
GCD-3933,Rajdeep Dutta,2024-05-31,,2024-05-31,,
GCD-18982,Etrisno,2024-06-03,,2024-06-03,,
GCD-20069,Etrisno,2024-06-03,2025-03-07,2024-06-03,,
GCD-20135,Rajdeep Dutta,2024-06-03,,2024-06-03,,
GCD-20020,Rajdeep Dutta,2024-06-03,,2024-06-03,,
GCD-20132,Rajdeep Dutta,2024-06-03,2025-03-11,2024-06-03,,2026-02-09
GCD-20129,Rajdeep Dutta,2024-06-04,,2024-06-04,,
GCD-20134,Etrisno,2024-06-04,,2024-06-04,,
GCD-10948,Etrisno,2024-06-05,,2024-06-05,,
GCD-20110,Rajdeep Dutta,2024-06-06,,2024-06-06,,
GCD-20082,Rajdeep Dutta,2024-06-06,,2024-06-06,,
GCD-5891,Etrisno,2024-06-06,,2024-06-06,,
